,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,system_attrs_fixed_params,state
45,45,140.0,2023-01-29 04:11:42.084584,2023-01-29 04:18:40.957213,0 days 00:06:58.872629,tanh,10,0.04617930386686829,0.07258146131162281,0.032381995764067674,2.4754744911649453,small,0.9274185386883772,1024,,COMPLETE
46,46,969.0,2023-01-29 04:18:40.957967,2023-01-29 04:25:34.043636,0 days 00:06:53.085669,relu,9,0.0014765495212891193,0.010146693540627421,0.00018433078990372939,1.9027889171932588,small,0.9898533064593725,512,,COMPLETE
47,47,380.0,2023-01-29 04:25:34.044271,2023-01-29 04:32:31.865021,0 days 00:06:57.820750,relu,8,0.001287082259608281,0.0077895253756758865,0.00021680708436859432,2.041002162554294,small,0.9922104746243241,256,,COMPLETE
48,48,289.0,2023-01-29 04:32:31.865743,2023-01-29 04:39:27.333859,0 days 00:06:55.468116,relu,9,0.0003801015364839409,0.001322890041862758,0.00014338029281810838,1.1665152300744972,small,0.9986771099581372,512,,COMPLETE
49,49,140.0,2023-01-29 04:39:27.334507,2023-01-29 04:46:57.102775,0 days 00:07:29.768268,relu,4,0.00014300709801467877,0.017775771776158134,0.0005261898150691714,1.7716070831869861,tiny,0.9822242282238418,16,,COMPLETE
50,50,629.0,2023-01-29 04:46:57.103424,2023-01-29 04:53:47.285343,0 days 00:06:50.181919,relu,8,0.001645898027089109,0.011378035503102494,0.0009392462688884,0.6510162079450101,small,0.9886219644968975,256,,COMPLETE
51,51,140.0,2023-01-29 04:53:47.285932,2023-01-29 05:00:45.783090,0 days 00:06:58.497158,relu,9,0.0029630000441919543,0.005157949941677779,0.0016137586124523695,4.320249486722034,small,0.9948420500583223,512,,COMPLETE
52,52,761.0,2023-01-29 05:00:45.783812,2023-01-29 05:07:44.431145,0 days 00:06:58.647333,tanh,10,0.028724241151389083,0.09923708775675436,0.0003786601763377357,2.2932638079033945,small,0.9007629122432457,1024,,COMPLETE
53,53,110.0,2023-01-29 05:07:44.431839,2023-01-29 05:14:36.138304,0 days 00:06:51.706465,tanh,9,0.01638464796679023,0.04274640588675209,5.783474966774193e-05,1.406197134537487,small,0.957253594113248,512,,COMPLETE
54,54,140.0,2023-01-29 05:14:36.139022,2023-01-29 05:21:32.401287,0 days 00:06:56.262265,relu,10,0.0024283594005888236,0.028695933683688724,0.005060121834871404,2.021780256475827,small,0.9713040663163113,1024,,COMPLETE
